Job Role,Skills
Data Scientist,python machine learning deep learning statistics pandas numpy data visualization tensorflow scikit-learn
Data Analyst,excel sql python powerbi tableau data visualization statistics data cleaning
Web Developer,html css javascript react nodejs express mongodb responsive design git
Frontend Developer,html css javascript react redux ui ux responsive design bootstrap
Backend Developer,python java nodejs express django flask api development database management
Full Stack Developer,html css javascript react nodejs mongodb sql git api integration
Android Developer,java kotlin android studio xml firebase rest api git
Software Engineer,java python c++ data structures algorithms oops system design git
Machine Learning Engineer,python machine learning deep learning tensorflow pytorch data preprocessing model deployment
DevOps Engineer,linux docker kubernetes ci cd aws azure scripting monitoring git
Cybersecurity Analyst,network security ethical hacking cryptography penetration testing linux firewalls
Cloud Engineer,aws azure google cloud docker kubernetes networking virtualization
UI UX Designer,figma adobe xd wireframing prototyping user research usability testing
